2023-11-29 16:29:37, INFO: Using device: cuda:0
2023-11-29 16:29:37, INFO: human number: 5
2023-11-29 16:29:37, INFO: Not randomize human's radius and preferred speed
2023-11-29 16:29:37, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2023-11-29 16:29:37, INFO: Square width: 9.0, circle width: 4.0
2023-11-29 16:29:37, INFO: Using robot policy: sarl_sac
2023-11-29 16:29:37, INFO: Policy: CADRL without occupancy map
2023-11-29 16:29:46, INFO: episode:60, reward:-0.06, memory size:4757, time:20.25, info:Timeout
2023-11-29 16:29:47, INFO: episode:61, reward:0.01, memory size:4838, time:20.25, info:Timeout
2023-11-29 16:29:47, INFO: episode:62, reward:-0.05, memory size:4919, time:20.25, info:Timeout
2023-11-29 16:29:47, INFO: episode:63, reward:-0.05, memory size:5000, time:20.25, info:Timeout
2023-11-29 16:29:47, INFO: episode:64, reward:-0.05, memory size:5081, time:20.25, info:Timeout
2023-11-29 16:29:47, INFO: episode:65, reward:-0.28, memory size:5120, time:9.75, info:Collision
2023-11-29 16:29:47, INFO: episode:66, reward:-0.01, memory size:5201, time:20.25, info:Timeout
2023-11-29 16:29:47, INFO: episode:67, reward:-0.25, memory size:5247, time:11.50, info:Collision
2023-11-29 16:29:47, INFO: episode:68, reward:-0.01, memory size:5328, time:20.25, info:Timeout
2023-11-29 16:29:48, INFO: episode:69, reward:0.05, memory size:5409, time:20.25, info:Timeout
2023-11-29 16:29:48, INFO: episode:70, reward:-0.03, memory size:5490, time:20.25, info:Timeout
2023-11-29 16:29:48, INFO: episode:71, reward:-0.06, memory size:5571, time:20.25, info:Timeout
2023-11-29 16:29:48, INFO: episode:72, reward:-0.05, memory size:5652, time:20.25, info:Timeout
2023-11-29 16:29:48, INFO: episode:73, reward:0.00, memory size:5733, time:20.25, info:Timeout
2023-11-29 16:29:48, INFO: episode:74, reward:-0.02, memory size:5814, time:20.25, info:Timeout
2023-11-29 16:29:48, INFO: episode:75, reward:-0.01, memory size:5895, time:20.25, info:Timeout
2023-11-29 16:29:49, INFO: episode:76, reward:0.02, memory size:5976, time:20.25, info:Timeout
2023-11-29 16:29:49, INFO: episode:77, reward:-0.02, memory size:6057, time:20.25, info:Timeout
2023-11-29 16:29:49, INFO: episode:78, reward:0.04, memory size:6138, time:20.25, info:Timeout
2023-11-29 16:29:49, INFO: episode:79, reward:0.03, memory size:6219, time:20.25, info:Timeout
2023-11-29 16:29:49, INFO: episode:80, reward:0.01, memory size:6300, time:20.25, info:Timeout
2023-11-29 16:29:50, INFO: episode:81, reward:-0.41, memory size:6358, time:14.50, info:Collision
2023-11-29 16:29:50, INFO: episode:82, reward:-0.02, memory size:6439, time:20.25, info:Timeout
2023-11-29 16:29:50, INFO: episode:83, reward:-0.29, memory size:6476, time:9.25, info:Collision
2023-11-29 16:29:50, INFO: episode:84, reward:0.00, memory size:6557, time:20.25, info:Timeout
2023-11-29 16:29:50, INFO: episode:85, reward:-0.26, memory size:6614, time:14.25, info:Collision
2023-11-29 16:29:51, INFO: episode:86, reward:-0.00, memory size:6695, time:20.25, info:Timeout
2023-11-29 16:29:51, INFO: episode:87, reward:-0.02, memory size:6776, time:20.25, info:Timeout
2023-11-29 16:29:51, INFO: episode:88, reward:-0.00, memory size:6857, time:20.25, info:Timeout
2023-11-29 16:29:51, INFO: episode:89, reward:0.02, memory size:6938, time:20.25, info:Timeout
2023-11-29 16:29:52, INFO: episode:90, reward:-0.29, memory size:7005, time:16.75, info:Collision
2023-11-29 16:29:52, INFO: episode:91, reward:-0.01, memory size:7086, time:20.25, info:Timeout
2023-11-29 16:29:52, INFO: episode:92, reward:-0.02, memory size:7167, time:20.25, info:Timeout
2023-11-29 16:29:52, INFO: episode:93, reward:-0.28, memory size:7203, time:9.00, info:Collision
2023-11-29 16:29:53, INFO: episode:94, reward:-0.23, memory size:7230, time:6.75, info:Collision
2023-11-29 16:29:53, INFO: episode:95, reward:-0.01, memory size:7311, time:20.25, info:Timeout
2023-11-29 16:29:54, INFO: episode:96, reward:0.01, memory size:7392, time:20.25, info:Timeout
2023-11-29 16:29:54, INFO: episode:97, reward:-0.29, memory size:7444, time:13.00, info:Collision
2023-11-29 16:29:55, INFO: episode:98, reward:-0.02, memory size:7525, time:20.25, info:Timeout
2023-11-29 16:29:55, INFO: episode:99, reward:-0.23, memory size:7556, time:7.75, info:Collision
2023-11-29 16:29:55, INFO: episode:100, reward:-0.04, memory size:7637, time:20.25, info:Timeout
2023-11-29 16:29:56, INFO: episode:101, reward:-0.00, memory size:7718, time:20.25, info:Timeout
